id,dataSetName,displayName,constellationName,mass,actualMass,source,catalogIdList,X,Y,Z,radius,ra,pmra,declination,pmdec,dec_deg,rs_cdeg,parallax,distance,radialVelocity,spectralClass,orthoSpectralClass,temperature,realStar,bprp,bpg,grp,luminosity,magu,magb,magv,magr,magi,other,anomaly,polity,worldType,fuelType,portType,populationType,techType,productType,milSpaceType,milPlanType,miscText1,miscText2,miscText3,miscText4,miscText5,miscNum1,miscNum2,miscNum3,miscNum4,miscNum5,notes
25b5ba96-35eb-4198-b40b-19bf67e47de1,25 ly Curated,* 107 Psc                          ,Pisces,,,Simbad|GaiaDr2,2MASS J01422977+2016073|PLX  356|LSPM J0142+2016|ASCC  743708|USNO-B1.0 1102-00020515|* 107 Psc|8pc 133.91|AG+20  151|BD+19   279|BDS   882 A|CCDM J01425+2016A|CSI+19   279  1|Ci 20  120|GC  2080|GCRV   957|GEN# +1.00010476|GJ    68|GJ    68.0|HD  10476|HIC   7981|HIP   7981|HR   493|IDS 01371+1947 A|JP11   527|LFT  153|LHS  1287|LTT 10596|NLTT  5685|NSV   600|PM 01398+2002|PPM  91014|ROT   243|SAO  74883|SKY#  2563|SPOCS   95|TD1   977|TYC 1211-1733-1|UBV    1738|UBV M   8372|YPAC  81|YZ  20   490|Zkh  31|uvby98 100010476|PLX  356.00|WDS J01425+2016A|AKARI-IRC-V1 J0142296+201602|IRAS 01397+2001|WISEA J014229.55+201559.7|WEB  1710|Gaia DR2 96331172942614528|*   2 Ari                                                                                                                                                                                                                                                                                                                                                                            ,3.3064574763,1.769036918,24.5073897287,,25.6240145553,-301.592 ,20.2685167339, -674.505,,,131.4903,24.792626,-33.62,K1V            ,K,5199, true,,,,,6.57,6.08,5.24,4.55,4.12,,,,,,,,,,,,,@1476565 ,Metallicity FeH min/maax 7.45 |-0.2 ,,,,,,,,
cc7e35cf-1448-46ae-a903-9d8e825e3e4c,25 ly Curated,* 36 Oph                           ,Ophiucus,,,Simbad|GaiaDr2,*  36 Oph|ADS 10417 AB|CCDM J17155-2635AB|CD-26 12026|CPD-26  5858|CSI-26 12026 23|HIC  84405|HIP  84405|IDS 17092-2627 AB|SRS  43650|UBV   14566|[B10]  4370|[B10]  4371|WDS J17153-2636AB|AKARI-IRC-V1 J1715206-263615|2MASS J17152095-2636064|PMSC 17092-2627|1RXS J171521.5-263558|1WGA J1715.3-2635|JP11  2827|GEN# +1.00155886|NAME Guniibuu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.6588124242,1.839232606,-19.3321119132,,258.8374330733,-465.31 ,-26.6028214208, -1140.97,,,168.54,19.430578,-0.1,K2V+K1V        ,K,5049, true,,,,,     ~,     ~,     ~,     ~,     ~,,,,,,,,,,,,Guniibuu               ,@2491684 ,Metallicity FeH min/maax 7.31 |-0.25,,,,,,,,
850f34c6-6841-4ffd-8eac-63681eb4f13d,25 ly Curated,* 61 Cyg                           ,Cygnus,,,Simbad|GaiaDr2,*  61 Cyg|2E  4446|2E 2104.8+3831|ADS 14636 AB|CSI+38  4343  3|FK5  793|GEN# +1.00201091J|PPM  86047|UBV   18287|WDS J21069+3845AB|CCDM J21069+3844AB|IRAS S21048+3831|IDS 21024+3815|** STF 2758AB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-4.754654749,3.0884369333,9.8910109667,,316.7247916667,4164.174,38.7494166667,3155.759,,,285.9459,11.4007579755,~        ,K7V            ,K,    , true,,,,,     ~,     ~,     ~,     ~,     ~,,,,,,,,,,,,,@675     ,Metallicity FeH min/maax      |     ,,,,,,,,
6021f133-6fc7-4451-a738-49858d86bc19,25 ly Curated,* 70 Oph                           ,Ophiucus,,,Simbad|GaiaDr2,PLX 4137|SBC9 1022|*  70 Oph|2E  4004|ADS 11046|ADS 11046 AB|AG+02 2199|BD+02  3482|CCDM J18055+0230AB|CSI+02  3482  1|Ci 20 1073|GC 24641|GJ   702|HD 165341|HIC  88601|HIP  88601|HR  6752|IDS 18004+0232 AB|IRC +00335|JP11  2926|N30 4015|PPM 165145|ROT  5812|SAO 123107|SBC7   660|SKY# 32844|TD1 21598|UBV M  22609|UBV M  22611|UBV   15379|V* V2391 Oph|[B10]  4571|1ES 1802+02.5|2E 1802.9+0230|2EUVE J1805+02.4|EUVE J1805+02.4|WDS J18055+0230AB|IDS 18004+0232|** STF 2272AB|IRAS 18029+0229|AKARI-IRC-V1 J1805273+022951|2MASS J18052735+0229585|uvby98 100165341|WEB 15004|GEN# +1.00165341|TIC 398120047                                                                                                                                                                                                                                                                                                                                                                                                                      ,-4.9750623727,-12.3100313585,9.9164348478,,271.3636882695,124.16 ,2.50009883, -962.82,,,196.72,16.5717771452,-5.8,K0-V           ,K,5167, true,,,,,5.4,4.89,4.03,3.38,2.92,,,,,,,,,,,,,@2654591 ,Metallicity FeH min/maax 7.51 |-0.52,,,,,,,,
84b1bf5b-9c1c-419b-934d-0a66f148758f,25 ly Curated,* alf Aql                          ,Aquila,,,Simbad|GaiaDr2,PLX 4665|LSPM J1950+0852|ASCC 1075038|USNO-B1.0 0988-00511792|* alf Aql|*  53 Aql|2E  4294|8pc 194.44|ADS 13009 A|AG+08 2636|BD+08  4236|CCDM J19508+0852A|CSI+08  4236  1|Ci 20 1169|FK5  745|GAT  549|GC 27470|GCRV 12193|GEN# +1.00187642|GJ   768|HD 187642|HIC  97649|HIP  97649|HR  7557|IDS 19459+0836 A|IRAS 19483+0844|IRC +10441|JP11  3142|LFT 1499|LHS  3490|LTT 15795|N30 4388|NAME Altair|NLTT 48314|NSV 24910|PM 19484+0844|PMC 90-93   530|PPM 168779|RAFGL 2463|ROT  2857|SAO 125122|SKY# 37134|TD1 25537|UBV M  24205|UBV   16885|USNO 891|Zkh 297|uvby98 100187642|2MASS J19504698+0852060|PLX 4665.00|1ES 1948+08.7|2E 1948.3+0844|1RXS J195047.0+085159|WDS J19508+0852A|TYC 1058-3399-1|GSC 01058-03399|V* alf Aql|AKARI-FIS-V1 J1950472+085209|2XMMi J195047.1+085208|WEB 17173                                                                                                                                                                                                                                        ,10.3363864493,-9.7355860824,8.8323649942,,297.6958272964,536.23 ,8.8683211964, 385.29,,,194.95,16.7222364709,-26.6,A7Vn           ,A,7672, true,,,,,1.07,0.98,0.76,0.62,0.49,,,,,,,,,,,,Altair                 ,@2708379 ,Metallicity FeH min/maax 0.48 |-0.24,,,,,,,,
185b4f29-ce27-45ae-b981-0204e62b703b,25 ly Curated,* alf Cen                          ,Centaurus,,,Simbad|GaiaDr2,* alf Cen|2E  3308|2RE J143941-605000|2RE J1439-605|CCDM J14396-6050AB|CPD-60  5483|CSI-60  5483 43|Ci 20  875|FK5  538|GC 19728|GCRV  8519|HD 128620J|IDS 14328-6025 AB|LPM 534|RE J1439-605|RE J143944-605008|SBC7   520|1E 143556-6037.3|1ES 1435-60.6|2E 1435.9-6037|2EUVE J1439-60.8|EUVE J1439-60.8|[TSA98] J143948.42-605021.66|WDS J14396-6050AB|RX J1439.5-6050|IRAS 14359-6037|SAO 252838|1RXS J143940.4-605020|PM 14362-6038|WDS J14403-6051AB|** RHD    1|1E 143555-6037.6|CD-60  5293|** LDS  494AB|uvby98 100128620|GES J14392972-6049560                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-1.8255854092,0.0687707062,3.9957005804,,219.87383306,-3608 ,-60.83222194, 686,,,742,4.3935309973,-22.3,G2V+K1V        ,G,6520, true,,,,,     ~,0.4,-0.1,     ~,     ~,,,,,,,,,,,,Rigil Kentaurus        ,@3396059 ,Metallicity FeH min/maax 7.63 |-0.4 ,,,,,,,,
480c971d-85c6-4b40-b3ca-e6b58a429c31,25 ly Curated,* alf CMi                          ,Canis Minor,,,Simbad|GaiaDr2,PLX 1805|SBC9 467|LSPM J0739+0513|ASCC 1030621|USNO-B1.0 0952-00146563|*  10 CMi|* alf CMi|1AXG J073918+0514|1C 12.01|2E  1849|2RE J0739+051|2RE J073918+051351|AG+05 1072|BD+05  1739|CSI+05  1739  1|CSI+05  1739  5|CSV 100884|Ci 20  432|FAUST 1387|FK5  291|GC 10277|GCRV  5099|HD  61421|HIC  37279|HIP  37279|HR  2943|IRAS 07366+0520|IRC +10170|JP11  1576|LFT  541|LHS   233|LTT 12053|N30 1726|NAME Procyon|NLTT 18229|NSV  3672|PM 07367+0521|PMC 90-93   212|PPM 153068|RAFGL 1161|RE J0739+051|RE J073917+051339|ROT  1234|SAO 115756|SBC7   317|SKY# 14100|SPOCS  352|SV* ZI   646|TD1 10647|UBV    7352|USNO 825|Zkh 106|[HFE83]  530|2MASS J07391805+0513298|1ES 0736+05.3|1RXS J073918.3+051332|2E 0736.6+0520|2EUVE J0739+05.2|EUVE J0739+05.2|RX J0739.3+0513|[TSA98] J073919.85+051356.36|TYC  187-2184-1|GJ   280.0|GJ   280|AKARI-FIS-V1 J0739178+051322|uvby98 100061421|WEB  7381|GEN# +1.00061421|GJ   280 A|8pc 285.93A|* alf CMi A|** SHB    1A|IDS 07341+0529 A|WDS J07393+0514A|CCDM J07393+0514A|NAME Procyon A,-0.8805414522,5.5492326016,-9.9838416093,,114.825497908,-714.59 ,5.2249875571, -1036.80,,,284.56,11.4562833849,-15.91,F5IV-V+DQZ     ,F,5781, true,,,,,0.82,0.79,0.37,-0.05,-0.28,,,,,,,,,,,,Procyon                ,@988145  ,Metallicity FeH min/maax 0.25 |0.25 ,,,,,,,,
d0ea5898-c3ff-4801-9651-b10ac0e0bb87,25 ly Curated,* bet Hyi                          ,Hydrus,,,Simbad|GaiaDr2,PLX   69|* bet Hyi|CD-77    15|CPC 21.3    43|CPD-77    16|CSV 100028|Ci 20   31|FAUST   12|FK5   11|GC   503|GCRV   232|GEN# +1.00002151|GJ    19|HD   2151|HIC   2021|HIP   2021|HR    98|IRAS 00235-7731|JP11   381|LFT   43|LHS     6|LPM  22|LTT   226|N30   76|NLTT  1346|NSV   161|PM 00232-7732|PPM 366918|SAO 255670|SKY#   715|SPOCS   20|SV* ZI    21|TD1   212|UBV     309|UBV M   7368|Zkh   9|uvby98 100002151|PLX   69.00|TYC 9350-1626-1|2MASS J00254416-7715157|WEB   376|Gaia DR2 4683897617108299136                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-6.7601947874,-1.0535874147,-23.3332562395,,6.437793155,2219.54 ,-77.25424612, 324.09,,,134.07,24.3156560006,23.09,G0V            ,G,5789, true,,,,,3.52,3.41,2.79,2.28,1.94,,,,,,,,,,,,,@3274779 ,Metallicity FeH min/maax 7.43 |-0.31,,,,,,,,
97e6931f-b162-4ba3-a825-91dd13a2f117,25 ly Curated,* del Pav                          ,Pavo,,,Simbad|GaiaDr2,PLX 4754|* del Pav|CD-66  2367|CPC 21  4651|CPD-66  3474|CSV   8399|Ci 20 1187|FK5  754|GC 27886|GCRV 12460|GEN# +1.00190248|GJ   780|HD 190248|HIC  99240|HIP  99240|HR  7665|JP11  3170|LFT 1520|LHS   485|LPM 722|LTT  7946|N30 4444|NLTT 48721|NSV 12790|PM 20038-6619|PPM 364428|SAO 254733|SKY# 37891|SPOCS  876|TD1 25955|TYC 9098-1918-1|UBV   17142|UBV M  24445|Zkh 300|uvby98 100190248|2MASS J20084376-6610563|PLX 4754.00|1E 2003.9-6620|WEB 17675|Gaia DR2 6427464325637241728                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,-16.1669833637,-10.7968858797,4.115655039,,302.1817061238,1211.03 ,-66.1820675764, -1130.05,,,163.71,19.871656,-21.54,G8IV           ,G,5558, true,,,,,4.78,4.32,3.56,2.95,2.61,,,,,,,,,,,,,@3402701 ,Metallicity FeH min/maax 0.44 |-0.02,,,,,,,,
c4245bb8-de72-4bf6-b2aa-68d2669ae017,25 ly Curated,* e Eri                            ,Eridanus,,,Simbad|GaiaDr2,2MASS J03195563-4304112|PLX  703|* e Eri|*  82 Eri|AC2000 3488626|CD-43  1028|CPC  0  1580|CPD-43   354|Ci 20  227|FK5  119|GC  4000|GCRV  1851|GEN# +1.00020794|GJ   139|HD  20794|HIC  15510|HIP  15510|HR  1008|JP11   773|LFT  277|LHS    19|LPM 147|LTT  1583|N30  684|NLTT 10637|PM 03179-4316|PPM 307533|SAO 216263|SKY#  4999|SPOCS  162|TD1  2110|TYC 7567-1183-1|UBV    3229|UBV M   9464|Zkh  50|uvby98 100020794|PLX  703.00|Gaia DR2 4847957293277762560|IRAS 03180-4315|AKARI-IRC-V1 J0319577-430406|IRAS F03180-4315|1RXS J031954.5-430417|WEB  2978                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,11.4952721271,-3.350411093,15.4826301465,,49.9818788967,3038.34 ,-43.0697826375, 726.58,,,165.47,19.572388,87.88,G6V            ,G,5446, true,,,,,5.2,4.98,4.27,3.65,3.25,,,,,,,,,,,,,@3000889 ,Metallicity FeH min/maax 7.16 |-0.54,,,,,,,,
